frame,x_px,y_px,angle_raw_rad,angle_unwrap_rad, omega
185,427.857,573.231,-1.81063,4.47256,1.11659
186,431.817,574.24,-1.79202,4.49117,0.970166
187,435.25,575.168,-1.77585,4.50734,1.24487
188,439.773,575.787,-1.7551,4.52808,1.12287
189,443.777,576.745,-1.73639,4.5468,1.11462
190,447.837,577.201,-1.71781,4.56538,1.21026
191,452.226,577.786,-1.69764,4.58555,1.13547
192,456.354,578.26,-1.67871,4.60447,1.22542
193,460.81,578.768,-1.65829,4.6249,1.21966
194,465.258,579.161,-1.63796,4.64522,1.24892
195,469.836,579.126,-1.61715,4.66604,1.22297
196,474.308,579.139,-1.59676,4.68642,1.24756
197,478.866,579.116,-1.57597,4.70721,1.18927
198,483.21,579.148,-1.55615,4.72703,1.39492
199,488.308,579.139,-1.5329,4.75028,1.19883
200,492.697,579.142,-1.51292,4.77026,1.37704
201,497.714,578.68,-1.48997,4.79321,1.2638
202,502.308,578.182,-1.46891,4.81428,1.36275
203,507.267,577.699,-1.44619,4.83699,1.36706
204,512.234,577.118,-1.42341,4.85977,1.37505
205,517.19,576.26,-1.40049,4.88269,1.43279
206,522.305,575.118,-1.37661,4.90657,1.35613
207,527.19,574.26,-1.35401,4.92917,1.42602
208,532.286,573.151,-1.33024,4.95294,1.36981
209,537.134,571.883,-1.30741,4.97577,1.47617
210,542.261,570.186,-1.28281,5.00037,1.56519
211,547.77,568.637,-1.25672,5.02646,1.46057
212,552.745,566.688,-1.23238,5.0508,1.45109
213,557.819,565.124,-1.2082,5.07499,1.44218
214,562.7,563.129,-1.18416,5.09903,1.66266
215,568.321,560.815,-1.15645,5.12674,1.45684
216,573.221,558.721,-1.13217,5.15102,1.51385
217,578.189,556.275,-1.10694,5.17625,1.61936
218,583.225,553.132,-1.07995,5.20324,1.62072
219,588.695,550.785,-1.05294,5.23025,1.60279
220,593.705,547.737,-1.02622,5.25696,1.56848
221,598.679,544.865,-1.00008,5.2831,1.59531
222,603.219,541.155,-0.973493,5.30969,1.66514
